RN,TS,F2UR,F3UF,F4NBDM,F5NBDR,F6NBDF
569,8/4/2016 22:00,0.0,59.3,0.0,0.0,0.0
570,8/4/2016 22:15,0.0,50.8,7.6,29.0,0.0
571,8/4/2016 22:30,0.0,42.4,15.2,65.3,0.0
572,8/4/2016 22:45,0.0,42.4,22.7,36.3,7.5
573,8/4/2016 23:00,0.0,76.2,30.3,79.8,14.9
574,8/4/2016 23:15,0.0,67.8,45.5,72.5,7.5
575,8/4/2016 23:30,0.0,33.9,22.7,29.0,7.5
576,8/4/2016 23:45,0.0,16.9,15.2,14.5,0.0
577,8/5/2016 0:00,0.0,8.5,7.6,7.3,7.5
578,8/5/2016 0:15,0.0,0.0,0.0,0.0,0.0
579,8/5/2016 0:30,0.0,8.5,15.2,7.3,0.0
580,8/5/2016 0:45,0.0,33.9,15.2,72.5,7.5
581,8/5/2016 1:00,0.0,101.6,45.5,123.3,0.0
582,8/5/2016 1:15,0.0,237.2,91.0,203.0,7.5
583,8/5/2016 1:30,0.0,160.9,68.2,159.5,0.0
584,8/5/2016 1:45,0.0,194.8,68.2,166.8,7.5
585,8/5/2016 2:00,0.0,254.1,83.4,203.0,7.5
586,8/5/2016 2:15,0.0,194.8,83.4,195.8,0.0
587,8/5/2016 2:30,0.0,262.6,98.5,246.5,7.5
588,8/5/2016 2:45,0.0,296.5,113.7,282.8,104.4
589,8/5/2016 3:00,0.0,296.5,121.3,290.0,201.4
590,8/5/2016 3:15,0.0,313.4,113.7,282.8,216.3
591,8/5/2016 3:30,0.0,364.2,128.9,297.3,67.1
592,8/5/2016 3:45,0.0,271.0,98.5,261.0,29.8
593,8/5/2016 4:00,0.0,279.5,106.1,282.8,14.9
594,8/5/2016 4:15,0.0,271.0,106.1,253.8,22.4
595,8/5/2016 4:30,0.0,330.3,121.3,311.8,44.8
596,8/5/2016 4:45,0.0,262.6,106.1,246.5,29.8
597,8/5/2016 5:00,0.0,237.2,91.0,224.8,44.8
598,8/5/2016 5:15,0.0,271.0,83.4,224.8,29.8
599,8/5/2016 5:30,0.0,237.2,91.0,224.8,37.3
600,8/5/2016 5:45,0.0,245.6,83.4,217.5,29.8
601,8/5/2016 6:00,0.0,177.9,68.2,174.0,37.3
602,8/5/2016 6:15,0.0,186.3,60.6,159.5,37.3
603,8/5/2016 6:30,0.0,203.3,75.8,188.5,22.4
604,8/5/2016 6:45,0.0,211.8,68.2,188.5,29.8
605,8/5/2016 7:00,0.0,177.9,60.6,166.8,22.4
606,8/5/2016 7:15,0.0,169.4,60.6,152.3,14.9
607,8/5/2016 7:30,0.0,177.9,53.1,159.5,22.4
608,8/5/2016 7:45,0.0,144.0,45.5,145.0,14.9
609,8/5/2016 8:00,0.0,169.4,53.1,159.5,14.9
610,8/5/2016 8:15,0.0,160.9,45.5,145.0,22.4
611,8/5/2016 8:30,0.0,152.5,37.9,130.5,14.9
612,8/5/2016 8:45,0.0,110.1,37.9,116.0,22.4
613,8/5/2016 9:00,0.0,101.6,22.7,94.3,22.4
614,8/5/2016 9:15,0.0,67.8,15.2,65.3,29.8
615,8/5/2016 9:30,0.0,59.3,15.2,43.5,29.8
616,8/5/2016 9:45,0.0,42.4,7.6,36.3,29.8
617,8/5/2016 10:00,0.0,33.9,7.6,29.0,29.8
618,8/5/2016 10:15,0.0,16.9,0.0,7.3,29.8
619,8/5/2016 10:30,0.0,8.5,0.0,7.3,37.3
620,8/5/2016 10:45,0.0,0.0,7.6,0.0,44.8
621,8/5/2016 11:00,0.0,0.0,0.0,0.0,0.0
622,8/5/2016 11:15,0.0,0.0,0.0,0.0,0.0
623,8/5/2016 11:30,0.0,0.0,0.0,0.0,0.0
624,8/5/2016 11:45,116.5,0.0,0.0,0.0,0.0
625,8/5/2016 12:00,0.0,0.0,0.0,0.0,0.0
626,8/5/2016 12:15,0.0,0.0,0.0,0.0,0.0
627,8/5/2016 12:30,0.0,0.0,0.0,0.0,0.0
628,8/5/2016 12:45,0.0,0.0,0.0,0.0,0.0
629,8/5/2016 13:00,0.0,0.0,0.0,0.0,0.0
630,8/5/2016 13:15,0.0,0.0,0.0,0.0,0.0
631,8/5/2016 13:30,0.0,0.0,0.0,0.0,0.0
632,8/5/2016 13:45,0.0,0.0,0.0,0.0,0.0
633,8/5/2016 14:00,0.0,0.0,0.0,0.0,0.0
634,8/5/2016 14:15,0.0,0.0,0.0,0.0,0.0
635,8/5/2016 14:30,0.0,0.0,0.0,0.0,0.0
636,8/5/2016 14:45,0.0,0.0,0.0,0.0,0.0
637,8/5/2016 15:00,0.0,0.0,0.0,0.0,0.0
638,8/5/2016 15:15,0.0,0.0,0.0,0.0,0.0
639,8/5/2016 15:30,0.0,0.0,0.0,0.0,0.0
640,8/5/2016 15:45,0.0,0.0,0.0,0.0,0.0
641,8/5/2016 16:00,0.0,0.0,0.0,7.3,0.0
642,8/5/2016 16:15,0.0,0.0,0.0,0.0,0.0
643,8/5/2016 16:30,0.0,0.0,0.0,0.0,0.0
644,8/5/2016 16:45,0.0,0.0,0.0,0.0,0.0
645,8/5/2016 17:00,0.0,0.0,0.0,0.0,0.0
646,8/5/2016 17:15,0.0,0.0,0.0,0.0,0.0
647,8/5/2016 17:30,0.0,0.0,0.0,0.0,0.0
648,8/5/2016 17:45,0.0,0.0,0.0,0.0,0.0
649,8/5/2016 18:00,0.0,0.0,0.0,0.0,0.0
650,8/5/2016 18:15,0.0,0.0,0.0,0.0,0.0
651,8/5/2016 18:30,0.0,0.0,0.0,0.0,0.0
652,8/5/2016 18:45,0.0,0.0,0.0,0.0,0.0
653,8/5/2016 19:00,0.0,0.0,0.0,0.0,0.0
654,8/5/2016 19:15,0.0,0.0,0.0,0.0,0.0
655,8/5/2016 19:30,0.0,0.0,0.0,0.0,0.0
656,8/5/2016 19:45,0.0,0.0,0.0,0.0,0.0
657,8/5/2016 20:00,0.0,0.0,0.0,0.0,0.0
658,8/5/2016 20:15,0.0,0.0,0.0,0.0,0.0
659,8/5/2016 20:30,0.0,0.0,0.0,0.0,0.0
660,8/5/2016 20:45,0.0,0.0,0.0,0.0,0.0
661,8/5/2016 21:00,0.0,0.0,0.0,0.0,0.0
662,8/5/2016 21:15,0.0,0.0,0.0,0.0,0.0
663,8/5/2016 21:30,0.0,0.0,0.0,0.0,0.0
664,8/5/2016 21:45,0.0,0.0,0.0,0.0,0.0
665,8/5/2016 22:00,0.0,0.0,0.0,0.0,0.0
666,8/5/2016 22:15,0.0,0.0,0.0,0.0,0.0
667,8/5/2016 22:30,0.0,0.0,0.0,0.0,0.0
668,8/5/2016 22:45,0.0,0.0,0.0,0.0,0.0
669,8/5/2016 23:00,0.0,0.0,0.0,0.0,0.0
670,8/5/2016 23:15,0.0,0.0,0.0,0.0,0.0
671,8/5/2016 23:30,0.0,0.0,0.0,0.0,0.0
672,8/5/2016 23:45,0.0,0.0,0.0,0.0,0.0
673,8/6/2016 0:00,0.0,0.0,0.0,0.0,0.0
674,8/6/2016 0:15,0.0,0.0,0.0,0.0,0.0
675,8/6/2016 0:30,0.0,0.0,0.0,0.0,0.0
676,8/6/2016 0:45,0.0,0.0,0.0,0.0,0.0
677,8/6/2016 1:00,0.0,0.0,0.0,0.0,0.0
678,8/6/2016 1:15,0.0,0.0,0.0,0.0,0.0
679,8/6/2016 1:30,0.0,0.0,0.0,0.0,0.0
680,8/6/2016 1:45,0.0,0.0,0.0,0.0,0.0
681,8/6/2016 2:00,0.0,0.0,0.0,0.0,0.0
682,8/6/2016 2:15,0.0,0.0,0.0,0.0,0.0
683,8/6/2016 2:30,0.0,0.0,0.0,0.0,0.0
684,8/6/2016 2:45,0.0,0.0,0.0,0.0,0.0
685,8/6/2016 3:00,0.0,0.0,0.0,0.0,0.0
686,8/6/2016 3:15,0.0,0.0,0.0,0.0,0.0
687,8/6/2016 3:30,0.0,0.0,0.0,0.0,0.0
688,8/6/2016 3:45,0.0,0.0,0.0,0.0,0.0
689,8/6/2016 4:00,0.0,0.0,0.0,0.0,0.0
690,8/6/2016 4:15,0.0,0.0,0.0,0.0,0.0
691,8/6/2016 4:30,0.0,0.0,0.0,0.0,0.0
692,8/6/2016 4:45,0.0,0.0,0.0,0.0,0.0
693,8/6/2016 5:00,0.0,0.0,0.0,0.0,0.0
694,8/6/2016 5:15,0.0,0.0,0.0,0.0,0.0
695,8/6/2016 5:30,0.0,0.0,0.0,0.0,0.0
696,8/6/2016 5:45,0.0,0.0,0.0,0.0,0.0
697,8/6/2016 6:00,0.0,0.0,0.0,0.0,0.0
698,8/6/2016 6:15,0.0,0.0,0.0,0.0,0.0
699,8/6/2016 6:30,0.0,0.0,0.0,0.0,0.0
700,8/6/2016 6:45,0.0,0.0,0.0,0.0,0.0
